==========================================
SLURM_JOB_ID = 9442660
SLURM_NODELIST = gpu-4-56
CUDA_VISIBLE_DEVICES = 0
==========================================
Unloading openmpi/4.1.5
Unloading slurm/23.02.7
Loading slurm/23.02.7
Loading openmpi/4.1.5
+ python CNN.py /home/zhuosl/VPML/Genome_matrix/genome_matrix_full.csv
wandb: Currently logged in as: zsliu. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.16.2 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.16.0
wandb: Run data is saved locally in /home/zhuosl/VPML/DL_model/wandb/run-20240121_214450-9jo2nh3e
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run CNN_full_genome_matrix
wandb: ⭐️ View project at https://wandb.ai/zsliu/VPML
wandb: 🚀 View run at https://wandb.ai/zsliu/VPML/runs/9jo2nh3e
Fold 1/10
Epoch [1/100], Training Loss: 0.6842, Training Accuracy: 55.87%, Validation Accuracy: 61.11%
Epoch [29/100], Training Loss: 0.3890, Training Accuracy: 93.37%, Validation Accuracy: 91.41%
Epoch [30/100], Training Loss: 0.3835, Training Accuracy: 94.19%, Validation Accuracy: 91.92%
Epoch [31/100], Training Loss: 0.3748, Training Accuracy: 94.38%, Validation Accuracy: 91.41%
Epoch [32/100], Training Loss: 0.3732, Training Accuracy: 94.82%, Validation Accuracy: 91.92%
Epoch [33/100], Training Loss: 0.3726, Training Accuracy: 94.51%, Validation Accuracy: 91.41%
Epoch [34/100], Training Loss: 0.3674, Training Accuracy: 95.08%, Validation Accuracy: 91.92%
Epoch [35/100], Training Loss: 0.3673, Training Accuracy: 95.08%, Validation Accuracy: 91.92%
Epoch [36/100], Training Loss: 0.3658, Training Accuracy: 95.45%, Validation Accuracy: 92.42%
Epoch [37/100], Training Loss: 0.3610, Training Accuracy: 95.39%, Validation Accuracy: 92.93%
Epoch [38/100], Training Loss: 0.3603, Training Accuracy: 95.52%, Validation Accuracy: 92.93%
Epoch [39/100], Training Loss: 0.3642, Training Accuracy: 95.96%, Validation Accuracy: 92.42%
Epoch [40/100], Training Loss: 0.3568, Training Accuracy: 96.28%, Validation Accuracy: 92.42%
Epoch [41/100], Training Loss: 0.3574, Training Accuracy: 96.46%, Validation Accuracy: 92.93%
Epoch [42/100], Training Loss: 0.3576, Training Accuracy: 96.46%, Validation Accuracy: 93.43%
Epoch [43/100], Training Loss: 0.3534, Training Accuracy: 96.72%, Validation Accuracy: 92.42%
Epoch [44/100], Training Loss: 0.3576, Training Accuracy: 96.84%, Validation Accuracy: 93.43%
Epoch [45/100], Training Loss: 0.3471, Training Accuracy: 97.16%, Validation Accuracy: 92.93%
Epoch [46/100], Training Loss: 0.3480, Training Accuracy: 97.35%, Validation Accuracy: 93.43%
Epoch [47/100], Training Loss: 0.3456, Training Accuracy: 97.16%, Validation Accuracy: 93.43%
Epoch [48/100], Training Loss: 0.3543, Training Accuracy: 96.84%, Validation Accuracy: 92.93%
Epoch [49/100], Training Loss: 0.3539, Training Accuracy: 96.97%, Validation Accuracy: 92.93%
Epoch [50/100], Training Loss: 0.3460, Training Accuracy: 97.03%, Validation Accuracy: 91.92%
Epoch [51/100], Training Loss: 0.3493, Training Accuracy: 97.10%, Validation Accuracy: 92.42%
Epoch [52/100], Training Loss: 0.3427, Training Accuracy: 97.47%, Validation Accuracy: 91.41%
Epoch [53/100], Training Loss: 0.3411, Training Accuracy: 97.85%, Validation Accuracy: 91.92%
Epoch [54/100], Training Loss: 0.3405, Training Accuracy: 97.66%, Validation Accuracy: 91.92%
Epoch [55/100], Training Loss: 0.3377, Training Accuracy: 97.73%, Validation Accuracy: 91.92%
Epoch [56/100], Training Loss: 0.3402, Training Accuracy: 97.73%, Validation Accuracy: 92.93%
Epoch [57/100], Training Loss: 0.3391, Training Accuracy: 97.66%, Validation Accuracy: 92.42%
Epoch [58/100], Training Loss: 0.3370, Training Accuracy: 97.85%, Validation Accuracy: 92.42%
Epoch [59/100], Training Loss: 0.3412, Training Accuracy: 97.98%, Validation Accuracy: 92.93%
Epoch [60/100], Training Loss: 0.3395, Training Accuracy: 97.73%, Validation Accuracy: 92.42%
Epoch [61/100], Training Loss: 0.3370, Training Accuracy: 97.73%, Validation Accuracy: 92.42%
Epoch [62/100], Training Loss: 0.3385, Training Accuracy: 97.54%, Validation Accuracy: 92.42%
Epoch [63/100], Training Loss: 0.3349, Training Accuracy: 98.11%, Validation Accuracy: 91.92%
Epoch [64/100], Training Loss: 0.3420, Training Accuracy: 97.79%, Validation Accuracy: 92.93%
Epoch [65/100], Training Loss: 0.3353, Training Accuracy: 97.73%, Validation Accuracy: 93.43%
Epoch [66/100], Training Loss: 0.3379, Training Accuracy: 97.85%, Validation Accuracy: 93.43%
Epoch [67/100], Training Loss: 0.3414, Training Accuracy: 98.04%, Validation Accuracy: 93.43%
Epoch [68/100], Training Loss: 0.3352, Training Accuracy: 98.11%, Validation Accuracy: 92.42%
Epoch [69/100], Training Loss: 0.3381, Training Accuracy: 97.98%, Validation Accuracy: 92.93%
Epoch [70/100], Training Loss: 0.3333, Training Accuracy: 97.98%, Validation Accuracy: 92.93%
Epoch [71/100], Training Loss: 0.3338, Training Accuracy: 98.04%, Validation Accuracy: 92.42%
Epoch [72/100], Training Loss: 0.3380, Training Accuracy: 97.92%, Validation Accuracy: 92.42%
Epoch [73/100], Training Loss: 0.3349, Training Accuracy: 97.85%, Validation Accuracy: 92.93%
Epoch [74/100], Training Loss: 0.3324, Training Accuracy: 98.04%, Validation Accuracy: 92.42%
Epoch [75/100], Training Loss: 0.3328, Training Accuracy: 97.98%, Validation Accuracy: 92.42%
Epoch [76/100], Training Loss: 0.3337, Training Accuracy: 97.98%, Validation Accuracy: 92.42%
Epoch [77/100], Training Loss: 0.3327, Training Accuracy: 97.73%, Validation Accuracy: 92.42%
Epoch [78/100], Training Loss: 0.3367, Training Accuracy: 98.17%, Validation Accuracy: 92.93%
Epoch [79/100], Training Loss: 0.3326, Training Accuracy: 97.85%, Validation Accuracy: 92.42%
Epoch [80/100], Training Loss: 0.3321, Training Accuracy: 98.11%, Validation Accuracy: 91.41%
Epoch [81/100], Training Loss: 0.3340, Training Accuracy: 97.85%, Validation Accuracy: 92.93%
Epoch [82/100], Training Loss: 0.3358, Training Accuracy: 97.98%, Validation Accuracy: 92.93%
Epoch [83/100], Training Loss: 0.3341, Training Accuracy: 98.04%, Validation Accuracy: 92.42%
Epoch [84/100], Training Loss: 0.3348, Training Accuracy: 98.17%, Validation Accuracy: 92.42%
Epoch [85/100], Training Loss: 0.3368, Training Accuracy: 98.04%, Validation Accuracy: 91.41%
Epoch [86/100], Training Loss: 0.3328, Training Accuracy: 98.17%, Validation Accuracy: 91.92%
Epoch [87/100], Training Loss: 0.3310, Training Accuracy: 98.23%, Validation Accuracy: 91.92%
Epoch [88/100], Training Loss: 0.3372, Training Accuracy: 98.04%, Validation Accuracy: 91.92%
Epoch [89/100], Training Loss: 0.3310, Training Accuracy: 98.42%, Validation Accuracy: 92.42%
Epoch [90/100], Training Loss: 0.3342, Training Accuracy: 97.98%, Validation Accuracy: 92.93%
Epoch [91/100], Training Loss: 0.3306, Training Accuracy: 98.11%, Validation Accuracy: 92.93%
Epoch [92/100], Training Loss: 0.3345, Training Accuracy: 98.23%, Validation Accuracy: 92.42%
Epoch [93/100], Training Loss: 0.3297, Training Accuracy: 98.23%, Validation Accuracy: 92.42%
Epoch [94/100], Training Loss: 0.3329, Training Accuracy: 98.17%, Validation Accuracy: 92.93%
Epoch [95/100], Training Loss: 0.3307, Training Accuracy: 98.04%, Validation Accuracy: 92.93%
Epoch [96/100], Training Loss: 0.3304, Training Accuracy: 98.42%, Validation Accuracy: 92.93%
Epoch [97/100], Training Loss: 0.3342, Training Accuracy: 98.11%, Validation Accuracy: 91.92%
Epoch [98/100], Training Loss: 0.3317, Training Accuracy: 98.11%, Validation Accuracy: 92.42%
Epoch [99/100], Training Loss: 0.3328, Training Accuracy: 98.30%, Validation Accuracy: 93.43%
Epoch [100/100], Training Loss: 0.3335, Training Accuracy: 97.98%, Validation Accuracy: 91.92%
Finished Training
Final Evaluation: Precision: 0.8739, Recall: 0.8737, F1 Score: 0.8738, Accuracy: 0.8737
Fold 3/10
Epoch [1/100], Training Loss: 0.6890, Training Accuracy: 52.59%, Validation Accuracy: 39.39%
Epoch [2/100], Training Loss: 0.6630, Training Accuracy: 58.65%, Validation Accuracy: 44.95%
Epoch [3/100], Training Loss: 0.6249, Training Accuracy: 71.97%, Validation Accuracy: 58.59%
Epoch [4/100], Training Loss: 0.5804, Training Accuracy: 77.78%, Validation Accuracy: 81.31%
Epoch [5/100], Training Loss: 0.5553, Training Accuracy: 76.89%, Validation Accuracy: 81.82%
Epoch [6/100], Training Loss: 0.5218, Training Accuracy: 82.26%, Validation Accuracy: 86.36%
Epoch [7/100], Training Loss: 0.5064, Training Accuracy: 81.94%, Validation Accuracy: 86.36%
Epoch [8/100], Training Loss: 0.4800, Training Accuracy: 84.91%, Validation Accuracy: 87.88%
Epoch [9/100], Training Loss: 0.4667, Training Accuracy: 85.73%, Validation Accuracy: 85.86%
Epoch [10/100], Training Loss: 0.4575, Training Accuracy: 85.80%, Validation Accuracy: 87.88%
Epoch [11/100], Training Loss: 0.4537, Training Accuracy: 87.25%, Validation Accuracy: 88.89%
Epoch [12/100], Training Loss: 0.4481, Training Accuracy: 86.99%, Validation Accuracy: 88.89%
Epoch [13/100], Training Loss: 0.4389, Training Accuracy: 87.82%, Validation Accuracy: 89.90%
Epoch [14/100], Training Loss: 0.4366, Training Accuracy: 88.89%, Validation Accuracy: 89.90%
Epoch [15/100], Training Loss: 0.4353, Training Accuracy: 88.70%, Validation Accuracy: 90.40%
Epoch [16/100], Training Loss: 0.4346, Training Accuracy: 88.95%, Validation Accuracy: 90.40%
Epoch [17/100], Training Loss: 0.4275, Training Accuracy: 89.77%, Validation Accuracy: 91.41%
Epoch [18/100], Training Loss: 0.4191, Training Accuracy: 89.65%, Validation Accuracy: 91.41%
Epoch [19/100], Training Loss: 0.4124, Training Accuracy: 90.53%, Validation Accuracy: 91.41%
Epoch [20/100], Training Loss: 0.4120, Training Accuracy: 91.10%, Validation Accuracy: 91.41%
Epoch [21/100], Training Loss: 0.4084, Training Accuracy: 90.91%, Validation Accuracy: 91.41%
Epoch [22/100], Training Loss: 0.4073, Training Accuracy: 91.35%, Validation Accuracy: 91.92%
Epoch [23/100], Training Loss: 0.4010, Training Accuracy: 91.79%, Validation Accuracy: 91.92%
Epoch [24/100], Training Loss: 0.4002, Training Accuracy: 91.79%, Validation Accuracy: 92.42%
Epoch [25/100], Training Loss: 0.4000, Training Accuracy: 92.68%, Validation Accuracy: 91.41%
Epoch [26/100], Training Loss: 0.4003, Training Accuracy: 92.49%, Validation Accuracy: 92.93%
Epoch [27/100], Training Loss: 0.3859, Training Accuracy: 92.49%, Validation Accuracy: 92.93%
Epoch [28/100], Training Loss: 0.3869, Training Accuracy: 93.62%, Validation Accuracy: 92.93%
Epoch [29/100], Training Loss: 0.3883, Training Accuracy: 93.31%, Validation Accuracy: 92.93%
Epoch [30/100], Training Loss: 0.3805, Training Accuracy: 93.69%, Validation Accuracy: 92.42%
Epoch [31/100], Training Loss: 0.3824, Training Accuracy: 94.00%, Validation Accuracy: 92.93%
Epoch [32/100], Training Loss: 0.3835, Training Accuracy: 94.07%, Validation Accuracy: 92.42%
Epoch [33/100], Training Loss: 0.3831, Training Accuracy: 94.07%, Validation Accuracy: 92.93%
Epoch [34/100], Training Loss: 0.3711, Training Accuracy: 94.44%, Validation Accuracy: 92.42%
Epoch [35/100], Training Loss: 0.3753, Training Accuracy: 94.32%, Validation Accuracy: 92.93%
Epoch [36/100], Training Loss: 0.3770, Training Accuracy: 94.70%, Validation Accuracy: 92.42%
Epoch [37/100], Training Loss: 0.3676, Training Accuracy: 94.63%, Validation Accuracy: 92.93%
Epoch [38/100], Training Loss: 0.3720, Training Accuracy: 95.01%, Validation Accuracy: 92.42%
Epoch [39/100], Training Loss: 0.3671, Training Accuracy: 94.95%, Validation Accuracy: 92.93%
Epoch [40/100], Training Loss: 0.3700, Training Accuracy: 95.27%, Validation Accuracy: 92.42%
Epoch [41/100], Training Loss: 0.3652, Training Accuracy: 95.20%, Validation Accuracy: 92.42%
Epoch [42/100], Training Loss: 0.3588, Training Accuracy: 95.77%, Validation Accuracy: 92.93%
Epoch [43/100], Training Loss: 0.3611, Training Accuracy: 95.71%, Validation Accuracy: 93.43%
Epoch [44/100], Training Loss: 0.3584, Training Accuracy: 95.83%, Validation Accuracy: 93.94%
Epoch [45/100], Training Loss: 0.3580, Training Accuracy: 96.15%, Validation Accuracy: 93.94%
Epoch [46/100], Training Loss: 0.3564, Training Accuracy: 95.96%, Validation Accuracy: 94.44%
Epoch [47/100], Training Loss: 0.3517, Training Accuracy: 96.65%, Validation Accuracy: 93.94%
Epoch [48/100], Training Loss: 0.3581, Training Accuracy: 96.53%, Validation Accuracy: 94.44%
Epoch [49/100], Training Loss: 0.3521, Training Accuracy: 96.46%, Validation Accuracy: 94.44%
Epoch [50/100], Training Loss: 0.3540, Training Accuracy: 96.72%, Validation Accuracy: 94.44%
Epoch [51/100], Training Loss: 0.3553, Training Accuracy: 96.59%, Validation Accuracy: 95.45%
Epoch [52/100], Training Loss: 0.3501, Training Accuracy: 96.91%, Validation Accuracy: 94.95%
Epoch [53/100], Training Loss: 0.3489, Training Accuracy: 96.91%, Validation Accuracy: 94.95%
Epoch [54/100], Training Loss: 0.3499, Training Accuracy: 96.84%, Validation Accuracy: 94.95%
Epoch [55/100], Training Loss: 0.3509, Training Accuracy: 96.84%, Validation Accuracy: 95.45%
Epoch [56/100], Training Loss: 0.3455, Training Accuracy: 97.10%, Validation Accuracy: 94.95%
Epoch [57/100], Training Loss: 0.3459, Training Accuracy: 96.65%, Validation Accuracy: 95.96%
Epoch [58/100], Training Loss: 0.3449, Training Accuracy: 97.22%, Validation Accuracy: 95.45%
