==========================================
SLURM_JOB_ID = 7466419
SLURM_NODELIST = gpu-4-56
==========================================
Unloading openmpi/4.1.5
Unloading slurm/22.05.9.p2
Loading slurm/22.05.9.p2
Loading openmpi/4.1.5
+ python MLP.py /home/zhuosl/VPML/Genome_matrix/genome_matrix_full.csv
Fold 1/5
Epoch [1/100], Training Loss: 0.6900, Training Accuracy: 57.58%, Test Accuracy: 49.49%
Epoch [14/100], Training Loss: 0.5746, Training Accuracy: 79.61%, Test Accuracy: 77.53%
Epoch [15/100], Training Loss: 0.5546, Training Accuracy: 81.31%, Test Accuracy: 81.06%
Epoch [16/100], Training Loss: 0.5390, Training Accuracy: 82.58%, Test Accuracy: 81.31%
Epoch [17/100], Training Loss: 0.5226, Training Accuracy: 83.14%, Test Accuracy: 82.32%
Epoch [18/100], Training Loss: 0.5072, Training Accuracy: 83.84%, Test Accuracy: 84.34%
Epoch [19/100], Training Loss: 0.4955, Training Accuracy: 85.54%, Test Accuracy: 85.35%
Epoch [20/100], Training Loss: 0.4896, Training Accuracy: 84.97%, Test Accuracy: 85.35%
Epoch [21/100], Training Loss: 0.4742, Training Accuracy: 86.93%, Test Accuracy: 86.11%
Epoch [22/100], Training Loss: 0.4731, Training Accuracy: 85.98%, Test Accuracy: 86.62%
Epoch [23/100], Training Loss: 0.4623, Training Accuracy: 87.06%, Test Accuracy: 86.36%
Epoch [24/100], Training Loss: 0.4556, Training Accuracy: 87.94%, Test Accuracy: 86.36%
Epoch [25/100], Training Loss: 0.4532, Training Accuracy: 88.01%, Test Accuracy: 86.36%
Epoch [26/100], Training Loss: 0.4464, Training Accuracy: 88.19%, Test Accuracy: 87.88%
Epoch [27/100], Training Loss: 0.4431, Training Accuracy: 88.51%, Test Accuracy: 87.37%
Epoch [28/100], Training Loss: 0.4391, Training Accuracy: 89.27%, Test Accuracy: 87.88%
Epoch [29/100], Training Loss: 0.4353, Training Accuracy: 88.89%, Test Accuracy: 87.37%
Epoch [30/100], Training Loss: 0.4336, Training Accuracy: 89.02%, Test Accuracy: 87.63%
Epoch [31/100], Training Loss: 0.4297, Training Accuracy: 89.02%, Test Accuracy: 87.37%
Epoch [32/100], Training Loss: 0.4269, Training Accuracy: 89.71%, Test Accuracy: 87.63%
Epoch [33/100], Training Loss: 0.4247, Training Accuracy: 89.52%, Test Accuracy: 87.88%
Epoch [34/100], Training Loss: 0.4258, Training Accuracy: 90.03%, Test Accuracy: 88.64%
Epoch [35/100], Training Loss: 0.4195, Training Accuracy: 90.66%, Test Accuracy: 88.64%
Epoch [36/100], Training Loss: 0.4204, Training Accuracy: 89.71%, Test Accuracy: 88.13%
Epoch [37/100], Training Loss: 0.4181, Training Accuracy: 90.40%, Test Accuracy: 88.38%
Epoch [38/100], Training Loss: 0.4198, Training Accuracy: 89.90%, Test Accuracy: 88.13%
Epoch [39/100], Training Loss: 0.4158, Training Accuracy: 90.59%, Test Accuracy: 87.88%
Epoch [40/100], Training Loss: 0.4141, Training Accuracy: 90.47%, Test Accuracy: 88.89%
Epoch [41/100], Training Loss: 0.4135, Training Accuracy: 90.34%, Test Accuracy: 88.89%
Epoch [42/100], Training Loss: 0.4083, Training Accuracy: 91.10%, Test Accuracy: 88.13%
Epoch [43/100], Training Loss: 0.4084, Training Accuracy: 91.04%, Test Accuracy: 89.14%
Epoch [44/100], Training Loss: 0.4066, Training Accuracy: 91.48%, Test Accuracy: 89.14%
Epoch [45/100], Training Loss: 0.4065, Training Accuracy: 91.60%, Test Accuracy: 89.90%
Epoch [46/100], Training Loss: 0.4017, Training Accuracy: 92.05%, Test Accuracy: 89.90%
Epoch [47/100], Training Loss: 0.3977, Training Accuracy: 92.11%, Test Accuracy: 89.39%
Epoch [48/100], Training Loss: 0.3993, Training Accuracy: 91.86%, Test Accuracy: 88.89%
Epoch [49/100], Training Loss: 0.4010, Training Accuracy: 91.73%, Test Accuracy: 89.65%
Epoch [50/100], Training Loss: 0.3960, Training Accuracy: 92.23%, Test Accuracy: 89.90%
Epoch [51/100], Training Loss: 0.3960, Training Accuracy: 92.17%, Test Accuracy: 89.90%
Epoch [52/100], Training Loss: 0.3938, Training Accuracy: 92.49%, Test Accuracy: 89.14%
Epoch [53/100], Training Loss: 0.3951, Training Accuracy: 92.23%, Test Accuracy: 90.40%
Epoch [54/100], Training Loss: 0.3925, Training Accuracy: 92.55%, Test Accuracy: 90.66%
Epoch [55/100], Training Loss: 0.3936, Training Accuracy: 92.17%, Test Accuracy: 88.64%
Epoch [56/100], Training Loss: 0.3900, Training Accuracy: 92.49%, Test Accuracy: 90.91%
Epoch [57/100], Training Loss: 0.3916, Training Accuracy: 92.55%, Test Accuracy: 89.90%
Epoch [58/100], Training Loss: 0.3925, Training Accuracy: 92.30%, Test Accuracy: 89.39%
Epoch [59/100], Training Loss: 0.3899, Training Accuracy: 92.87%, Test Accuracy: 89.65%
Epoch [60/100], Training Loss: 0.3862, Training Accuracy: 93.43%, Test Accuracy: 90.40%
Epoch [61/100], Training Loss: 0.3820, Training Accuracy: 93.56%, Test Accuracy: 90.66%
Epoch [62/100], Training Loss: 0.3826, Training Accuracy: 93.62%, Test Accuracy: 90.66%
Epoch [63/100], Training Loss: 0.3806, Training Accuracy: 93.94%, Test Accuracy: 88.64%
Epoch [64/100], Training Loss: 0.3766, Training Accuracy: 94.19%, Test Accuracy: 90.66%
Epoch [65/100], Training Loss: 0.3820, Training Accuracy: 93.56%, Test Accuracy: 90.40%
Epoch [66/100], Training Loss: 0.3788, Training Accuracy: 93.81%, Test Accuracy: 90.66%
Epoch [67/100], Training Loss: 0.3790, Training Accuracy: 93.88%, Test Accuracy: 90.66%
Epoch [68/100], Training Loss: 0.3791, Training Accuracy: 93.50%, Test Accuracy: 90.66%
Epoch [69/100], Training Loss: 0.3755, Training Accuracy: 94.19%, Test Accuracy: 90.91%
Epoch [70/100], Training Loss: 0.3753, Training Accuracy: 94.26%, Test Accuracy: 90.40%
Epoch [71/100], Training Loss: 0.3739, Training Accuracy: 94.57%, Test Accuracy: 90.40%
Epoch [72/100], Training Loss: 0.3745, Training Accuracy: 94.38%, Test Accuracy: 90.40%
Epoch [73/100], Training Loss: 0.3715, Training Accuracy: 94.76%, Test Accuracy: 90.15%
Epoch [74/100], Training Loss: 0.3766, Training Accuracy: 94.32%, Test Accuracy: 90.66%
Epoch [75/100], Training Loss: 0.3722, Training Accuracy: 94.51%, Test Accuracy: 90.40%
Epoch [76/100], Training Loss: 0.3693, Training Accuracy: 94.95%, Test Accuracy: 90.40%
Epoch [77/100], Training Loss: 0.3769, Training Accuracy: 94.38%, Test Accuracy: 90.40%
Epoch [78/100], Training Loss: 0.3696, Training Accuracy: 94.95%, Test Accuracy: 90.66%
Epoch [79/100], Training Loss: 0.3737, Training Accuracy: 94.44%, Test Accuracy: 90.15%
Epoch [80/100], Training Loss: 0.3691, Training Accuracy: 95.01%, Test Accuracy: 90.40%
Epoch [81/100], Training Loss: 0.3690, Training Accuracy: 94.95%, Test Accuracy: 90.40%
Epoch [82/100], Training Loss: 0.3677, Training Accuracy: 94.76%, Test Accuracy: 90.40%
Epoch [83/100], Training Loss: 0.3689, Training Accuracy: 94.44%, Test Accuracy: 90.40%
Epoch [84/100], Training Loss: 0.3686, Training Accuracy: 95.08%, Test Accuracy: 90.91%
Epoch [85/100], Training Loss: 0.3697, Training Accuracy: 94.63%, Test Accuracy: 90.91%
Epoch [86/100], Training Loss: 0.3642, Training Accuracy: 95.08%, Test Accuracy: 90.91%
Epoch [87/100], Training Loss: 0.3663, Training Accuracy: 94.89%, Test Accuracy: 90.66%
Epoch [88/100], Training Loss: 0.3656, Training Accuracy: 95.14%, Test Accuracy: 90.66%
Epoch [89/100], Training Loss: 0.3643, Training Accuracy: 95.20%, Test Accuracy: 90.91%
Epoch [90/100], Training Loss: 0.3637, Training Accuracy: 95.14%, Test Accuracy: 90.91%
Epoch [91/100], Training Loss: 0.3628, Training Accuracy: 95.14%, Test Accuracy: 90.66%
Epoch [92/100], Training Loss: 0.3618, Training Accuracy: 95.71%, Test Accuracy: 90.66%
Epoch [93/100], Training Loss: 0.3621, Training Accuracy: 95.33%, Test Accuracy: 90.15%
Epoch [94/100], Training Loss: 0.3613, Training Accuracy: 95.58%, Test Accuracy: 90.66%
Epoch [95/100], Training Loss: 0.3656, Training Accuracy: 94.89%, Test Accuracy: 90.91%
Epoch [96/100], Training Loss: 0.3622, Training Accuracy: 95.58%, Test Accuracy: 90.91%
Epoch [97/100], Training Loss: 0.3701, Training Accuracy: 94.26%, Test Accuracy: 90.40%
Epoch [98/100], Training Loss: 0.3645, Training Accuracy: 95.27%, Test Accuracy: 90.66%
Epoch [99/100], Training Loss: 0.3626, Training Accuracy: 95.45%, Test Accuracy: 89.90%
Epoch [100/100], Training Loss: 0.3620, Training Accuracy: 95.52%, Test Accuracy: 89.65%
Finished Training
Final Evaluation: Precision: 0.8965, Recall: 0.8965, F1 Score: 0.8965, Accuracy: 0.8965
Fold 3/5
Epoch [1/100], Training Loss: 0.6966, Training Accuracy: 44.32%, Test Accuracy: 42.68%
Epoch [2/100], Training Loss: 0.6920, Training Accuracy: 53.41%, Test Accuracy: 57.58%
Epoch [3/100], Training Loss: 0.6883, Training Accuracy: 57.70%, Test Accuracy: 57.07%
Epoch [4/100], Training Loss: 0.6839, Training Accuracy: 56.25%, Test Accuracy: 57.32%
Epoch [5/100], Training Loss: 0.6795, Training Accuracy: 55.87%, Test Accuracy: 57.32%
Epoch [6/100], Training Loss: 0.6731, Training Accuracy: 56.38%, Test Accuracy: 57.32%
Epoch [7/100], Training Loss: 0.6665, Training Accuracy: 57.70%, Test Accuracy: 58.84%
Epoch [8/100], Training Loss: 0.6594, Training Accuracy: 62.25%, Test Accuracy: 66.92%
Epoch [9/100], Training Loss: 0.6499, Training Accuracy: 64.52%, Test Accuracy: 76.01%
Epoch [10/100], Training Loss: 0.6366, Training Accuracy: 69.82%, Test Accuracy: 78.28%
Epoch [11/100], Training Loss: 0.6227, Training Accuracy: 72.92%, Test Accuracy: 80.30%
Epoch [12/100], Training Loss: 0.6066, Training Accuracy: 77.27%, Test Accuracy: 80.30%
Epoch [13/100], Training Loss: 0.5881, Training Accuracy: 78.85%, Test Accuracy: 81.57%
Epoch [14/100], Training Loss: 0.5702, Training Accuracy: 79.99%, Test Accuracy: 83.33%
Epoch [15/100], Training Loss: 0.5515, Training Accuracy: 81.38%, Test Accuracy: 84.60%
Epoch [16/100], Training Loss: 0.5337, Training Accuracy: 82.51%, Test Accuracy: 86.11%
Epoch [17/100], Training Loss: 0.5155, Training Accuracy: 84.47%, Test Accuracy: 85.86%
Epoch [18/100], Training Loss: 0.5038, Training Accuracy: 84.85%, Test Accuracy: 85.35%
Epoch [19/100], Training Loss: 0.4915, Training Accuracy: 85.29%, Test Accuracy: 86.36%
Epoch [20/100], Training Loss: 0.4814, Training Accuracy: 86.55%, Test Accuracy: 84.85%
Epoch [21/100], Training Loss: 0.4781, Training Accuracy: 85.86%, Test Accuracy: 85.35%
Epoch [22/100], Training Loss: 0.4660, Training Accuracy: 86.62%, Test Accuracy: 87.88%
Epoch [23/100], Training Loss: 0.4630, Training Accuracy: 86.68%, Test Accuracy: 87.12%
Epoch [24/100], Training Loss: 0.4551, Training Accuracy: 87.25%, Test Accuracy: 87.88%
Epoch [25/100], Training Loss: 0.4503, Training Accuracy: 87.88%, Test Accuracy: 88.38%
Epoch [26/100], Training Loss: 0.4505, Training Accuracy: 87.56%, Test Accuracy: 88.89%
Epoch [27/100], Training Loss: 0.4379, Training Accuracy: 88.38%, Test Accuracy: 88.89%
Epoch [28/100], Training Loss: 0.4407, Training Accuracy: 88.19%, Test Accuracy: 88.64%
Epoch [29/100], Training Loss: 0.4362, Training Accuracy: 88.83%, Test Accuracy: 88.38%
Epoch [30/100], Training Loss: 0.4283, Training Accuracy: 89.71%, Test Accuracy: 89.14%
Epoch [31/100], Training Loss: 0.4261, Training Accuracy: 89.96%, Test Accuracy: 88.89%
Epoch [32/100], Training Loss: 0.4289, Training Accuracy: 89.08%, Test Accuracy: 89.14%
Epoch [33/100], Training Loss: 0.4252, Training Accuracy: 89.46%, Test Accuracy: 88.64%
Epoch [34/100], Training Loss: 0.4221, Training Accuracy: 90.15%, Test Accuracy: 88.64%
Epoch [35/100], Training Loss: 0.4229, Training Accuracy: 90.03%, Test Accuracy: 88.64%
Epoch [36/100], Training Loss: 0.4175, Training Accuracy: 90.21%, Test Accuracy: 88.64%
Epoch [37/100], Training Loss: 0.4179, Training Accuracy: 90.47%, Test Accuracy: 89.14%
Epoch [38/100], Training Loss: 0.4130, Training Accuracy: 90.53%, Test Accuracy: 89.65%
Epoch [39/100], Training Loss: 0.4121, Training Accuracy: 90.85%, Test Accuracy: 89.39%
Epoch [40/100], Training Loss: 0.4075, Training Accuracy: 91.29%, Test Accuracy: 89.65%
Epoch [41/100], Training Loss: 0.4107, Training Accuracy: 91.04%, Test Accuracy: 89.65%
Epoch [42/100], Training Loss: 0.4062, Training Accuracy: 91.16%, Test Accuracy: 89.14%
Epoch [43/100], Training Loss: 0.4041, Training Accuracy: 90.97%, Test Accuracy: 89.39%
Epoch [44/100], Training Loss: 0.4018, Training Accuracy: 91.86%, Test Accuracy: 89.14%
Epoch [45/100], Training Loss: 0.4055, Training Accuracy: 91.10%, Test Accuracy: 89.39%
Epoch [46/100], Training Loss: 0.4028, Training Accuracy: 91.73%, Test Accuracy: 89.39%
Epoch [47/100], Training Loss: 0.3973, Training Accuracy: 92.30%, Test Accuracy: 89.39%
Epoch [48/100], Training Loss: 0.3946, Training Accuracy: 92.74%, Test Accuracy: 89.39%
Epoch [49/100], Training Loss: 0.3933, Training Accuracy: 92.80%, Test Accuracy: 89.65%
Epoch [50/100], Training Loss: 0.3916, Training Accuracy: 92.42%, Test Accuracy: 89.39%
Epoch [51/100], Training Loss: 0.3917, Training Accuracy: 92.99%, Test Accuracy: 89.65%
Epoch [52/100], Training Loss: 0.3899, Training Accuracy: 92.68%, Test Accuracy: 89.65%
Epoch [53/100], Training Loss: 0.3893, Training Accuracy: 92.93%, Test Accuracy: 91.41%
Epoch [54/100], Training Loss: 0.3889, Training Accuracy: 93.12%, Test Accuracy: 89.90%
Epoch [55/100], Training Loss: 0.3876, Training Accuracy: 92.93%, Test Accuracy: 90.15%
Epoch [56/100], Training Loss: 0.3853, Training Accuracy: 93.62%, Test Accuracy: 89.14%
Epoch [57/100], Training Loss: 0.3866, Training Accuracy: 93.37%, Test Accuracy: 91.16%
Epoch [58/100], Training Loss: 0.3820, Training Accuracy: 93.62%, Test Accuracy: 91.67%
Epoch [59/100], Training Loss: 0.3811, Training Accuracy: 93.94%, Test Accuracy: 91.41%
Epoch [60/100], Training Loss: 0.3840, Training Accuracy: 93.37%, Test Accuracy: 89.65%
Epoch [61/100], Training Loss: 0.3808, Training Accuracy: 93.75%, Test Accuracy: 90.91%
Epoch [62/100], Training Loss: 0.3764, Training Accuracy: 94.44%, Test Accuracy: 89.14%
Epoch [63/100], Training Loss: 0.3810, Training Accuracy: 93.62%, Test Accuracy: 90.66%
Epoch [64/100], Training Loss: 0.3749, Training Accuracy: 94.19%, Test Accuracy: 89.65%
Epoch [65/100], Training Loss: 0.3789, Training Accuracy: 93.62%, Test Accuracy: 89.65%
Epoch [66/100], Training Loss: 0.3784, Training Accuracy: 94.00%, Test Accuracy: 90.40%
Epoch [67/100], Training Loss: 0.3774, Training Accuracy: 94.13%, Test Accuracy: 89.90%
Epoch [68/100], Training Loss: 0.3733, Training Accuracy: 94.32%, Test Accuracy: 90.15%
Epoch [69/100], Training Loss: 0.3692, Training Accuracy: 95.01%, Test Accuracy: 90.91%
Epoch [70/100], Training Loss: 0.3716, Training Accuracy: 94.76%, Test Accuracy: 89.90%
Epoch [71/100], Training Loss: 0.3698, Training Accuracy: 94.95%, Test Accuracy: 90.15%
Epoch [72/100], Training Loss: 0.3715, Training Accuracy: 94.76%, Test Accuracy: 90.66%
Epoch [73/100], Training Loss: 0.3725, Training Accuracy: 94.63%, Test Accuracy: 89.14%
Epoch [74/100], Training Loss: 0.3698, Training Accuracy: 94.63%, Test Accuracy: 90.91%
Epoch [75/100], Training Loss: 0.3676, Training Accuracy: 95.39%, Test Accuracy: 90.91%
