
Fold 1/5
CNN.py:30: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  feature = torch.tensor(self.features[index], dtype=torch.float32)
CNN.py:31: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(self.labels[index], dtype=torch.int64)
Epoch [1/100], Training Loss: 0.6637, Training Accuracy: 58.53%, Validation Accuracy: 75.07%
Epoch [33/100], Training Loss: 0.3321, Training Accuracy: 98.18%, Validation Accuracy: 92.16%
Epoch [34/100], Training Loss: 0.3308, Training Accuracy: 98.39%, Validation Accuracy: 91.88%
Epoch [35/100], Training Loss: 0.3312, Training Accuracy: 98.32%, Validation Accuracy: 93.00%
Epoch [36/100], Training Loss: 0.3303, Training Accuracy: 98.39%, Validation Accuracy: 92.44%
Epoch [37/100], Training Loss: 0.3330, Training Accuracy: 98.39%, Validation Accuracy: 92.44%
Epoch [38/100], Training Loss: 0.3322, Training Accuracy: 98.39%, Validation Accuracy: 92.44%
Epoch [39/100], Training Loss: 0.3315, Training Accuracy: 98.32%, Validation Accuracy: 91.88%
Epoch [40/100], Training Loss: 0.3304, Training Accuracy: 98.32%, Validation Accuracy: 93.28%
Epoch [41/100], Training Loss: 0.3303, Training Accuracy: 98.39%, Validation Accuracy: 92.16%
Epoch [42/100], Training Loss: 0.3299, Training Accuracy: 98.39%, Validation Accuracy: 93.00%
Epoch [43/100], Training Loss: 0.3301, Training Accuracy: 98.39%, Validation Accuracy: 92.16%
Epoch [44/100], Training Loss: 0.3296, Training Accuracy: 98.39%, Validation Accuracy: 92.44%
Epoch [45/100], Training Loss: 0.3295, Training Accuracy: 98.46%, Validation Accuracy: 91.88%
Epoch [46/100], Training Loss: 0.3296, Training Accuracy: 98.39%, Validation Accuracy: 92.44%
Epoch [47/100], Training Loss: 0.3311, Training Accuracy: 98.46%, Validation Accuracy: 92.44%
Epoch [48/100], Training Loss: 0.3313, Training Accuracy: 98.46%, Validation Accuracy: 92.44%
Epoch [49/100], Training Loss: 0.3295, Training Accuracy: 98.39%, Validation Accuracy: 92.44%
Epoch [50/100], Training Loss: 0.3298, Training Accuracy: 98.32%, Validation Accuracy: 92.44%
Epoch [51/100], Training Loss: 0.3311, Training Accuracy: 98.39%, Validation Accuracy: 92.44%
Epoch [52/100], Training Loss: 0.3291, Training Accuracy: 98.46%, Validation Accuracy: 92.44%
Epoch [53/100], Training Loss: 0.3293, Training Accuracy: 98.46%, Validation Accuracy: 92.72%
Epoch [54/100], Training Loss: 0.3290, Training Accuracy: 98.46%, Validation Accuracy: 92.44%
Epoch [55/100], Training Loss: 0.3287, Training Accuracy: 98.46%, Validation Accuracy: 91.60%
Epoch [56/100], Training Loss: 0.3306, Training Accuracy: 98.46%, Validation Accuracy: 92.72%
Epoch [57/100], Training Loss: 0.3291, Training Accuracy: 98.39%, Validation Accuracy: 91.60%
Epoch [58/100], Training Loss: 0.3296, Training Accuracy: 98.39%, Validation Accuracy: 92.72%
Epoch [59/100], Training Loss: 0.3288, Training Accuracy: 98.46%, Validation Accuracy: 92.44%
Epoch [60/100], Training Loss: 0.3288, Training Accuracy: 98.46%, Validation Accuracy: 91.88%
Epoch [61/100], Training Loss: 0.3286, Training Accuracy: 98.53%, Validation Accuracy: 92.72%
Epoch [62/100], Training Loss: 0.3280, Training Accuracy: 98.53%, Validation Accuracy: 92.16%
Epoch [63/100], Training Loss: 0.3278, Training Accuracy: 98.53%, Validation Accuracy: 92.72%
Epoch [64/100], Training Loss: 0.3284, Training Accuracy: 98.53%, Validation Accuracy: 92.44%
Epoch [65/100], Training Loss: 0.3279, Training Accuracy: 98.53%, Validation Accuracy: 92.44%
Epoch [66/100], Training Loss: 0.3279, Training Accuracy: 98.46%, Validation Accuracy: 92.72%
Epoch [67/100], Training Loss: 0.3290, Training Accuracy: 98.39%, Validation Accuracy: 92.72%
Epoch [68/100], Training Loss: 0.3285, Training Accuracy: 98.53%, Validation Accuracy: 92.44%
Epoch [69/100], Training Loss: 0.3281, Training Accuracy: 98.53%, Validation Accuracy: 91.88%
Epoch [70/100], Training Loss: 0.3303, Training Accuracy: 98.46%, Validation Accuracy: 91.88%
Epoch [71/100], Training Loss: 0.3299, Training Accuracy: 98.46%, Validation Accuracy: 93.00%
Epoch [72/100], Training Loss: 0.3286, Training Accuracy: 98.46%, Validation Accuracy: 92.16%
Epoch [73/100], Training Loss: 0.3274, Training Accuracy: 98.67%, Validation Accuracy: 92.44%
Epoch [74/100], Training Loss: 0.3285, Training Accuracy: 98.46%, Validation Accuracy: 93.00%
Epoch [75/100], Training Loss: 0.3280, Training Accuracy: 98.53%, Validation Accuracy: 92.16%
Epoch [76/100], Training Loss: 0.3280, Training Accuracy: 98.53%, Validation Accuracy: 93.00%
Epoch [77/100], Training Loss: 0.3275, Training Accuracy: 98.53%, Validation Accuracy: 92.72%
Epoch [78/100], Training Loss: 0.3279, Training Accuracy: 98.53%, Validation Accuracy: 92.44%
Epoch [79/100], Training Loss: 0.3301, Training Accuracy: 98.46%, Validation Accuracy: 92.16%
Epoch [80/100], Training Loss: 0.3280, Training Accuracy: 98.53%, Validation Accuracy: 91.88%
Epoch [81/100], Training Loss: 0.3280, Training Accuracy: 98.53%, Validation Accuracy: 93.00%
Epoch [82/100], Training Loss: 0.3279, Training Accuracy: 98.53%, Validation Accuracy: 92.44%
Epoch [83/100], Training Loss: 0.3278, Training Accuracy: 98.53%, Validation Accuracy: 92.72%
Epoch [84/100], Training Loss: 0.3279, Training Accuracy: 98.53%, Validation Accuracy: 92.16%
Epoch [85/100], Training Loss: 0.3278, Training Accuracy: 98.53%, Validation Accuracy: 92.44%
Epoch [86/100], Training Loss: 0.3284, Training Accuracy: 98.46%, Validation Accuracy: 91.88%
Epoch [87/100], Training Loss: 0.3295, Training Accuracy: 98.53%, Validation Accuracy: 92.72%
Epoch [88/100], Training Loss: 0.3279, Training Accuracy: 98.53%, Validation Accuracy: 92.44%
Epoch [89/100], Training Loss: 0.3283, Training Accuracy: 98.53%, Validation Accuracy: 91.88%
Epoch [90/100], Training Loss: 0.3276, Training Accuracy: 98.53%, Validation Accuracy: 92.72%
Epoch [91/100], Training Loss: 0.3300, Training Accuracy: 98.53%, Validation Accuracy: 91.88%
Epoch [92/100], Training Loss: 0.3278, Training Accuracy: 98.53%, Validation Accuracy: 92.44%
Epoch [93/100], Training Loss: 0.3277, Training Accuracy: 98.53%, Validation Accuracy: 92.44%
Epoch [94/100], Training Loss: 0.3298, Training Accuracy: 98.53%, Validation Accuracy: 92.16%
Epoch [95/100], Training Loss: 0.3295, Training Accuracy: 98.53%, Validation Accuracy: 92.16%
Epoch [96/100], Training Loss: 0.3275, Training Accuracy: 98.60%, Validation Accuracy: 92.16%
Epoch [97/100], Training Loss: 0.3292, Training Accuracy: 98.46%, Validation Accuracy: 92.44%
Epoch [98/100], Training Loss: 0.3280, Training Accuracy: 98.53%, Validation Accuracy: 91.60%
Epoch [99/100], Training Loss: 0.3278, Training Accuracy: 98.53%, Validation Accuracy: 92.72%
Traceback (most recent call last):
  File "CNN.py", line 270, in <module>
    precision, recall, f1, accuracy = ModelEvaluator(model, trainloader, testloader, valloader, criterion, optimizer, 100)
  File "CNN.py", line 163, in ModelEvaluator
    best_model = CustomCNN()  # Replace YourModelClass with the class of your model
TypeError: __init__() missing 2 required positional arguments: 'input_channels' and 'num_classes'
Epoch [100/100], Training Loss: 0.3297, Training Accuracy: 98.53%, Validation Accuracy: 92.44%
Finished Training
