"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000154045.1_ASM15404v1","GCF_000182385.1_ASM18238v1"
"group_171","","hypothetical protein","2","2","1","515","41","","","","620","3878","2249","GCF_000154045.1_ASM15404v1_02245","GCF_000182385.1_ASM18238v1_01581"
"yegS_1","","lipid kinase YegS","2","2","1","521","316","","","","1637","1637","1637","GCF_000154045.1_ASM15404v1_00409","GCF_000182385.1_ASM18238v1_02917"
"group_175","","hypothetical protein","2","2","1","524","1268","","","","596","1454","1025","GCF_000154045.1_ASM15404v1_02621","GCF_000182385.1_ASM18238v1_02750"
"pabB_2","","Aminodeoxychorismate synthase component 1","2","2","1","520","304","","","","1250","1373","1311","GCF_000154045.1_ASM15404v1_03425","GCF_000182385.1_ASM18238v1_01337"
"psd","","Phosphatidylserine decarboxylase proenzyme","2","2","1","517","127","","","","419","857","638","GCF_000154045.1_ASM15404v1_03181","GCF_000182385.1_ASM18238v1_04305"
"por","","Polyol:NADP oxidoreductase","2","2","1","524","725","","","","1463","1466","1464","GCF_000154045.1_ASM15404v1_02426","GCF_000182385.1_ASM18238v1_00721"
"rpsA","","30S ribosomal protein S1","2","2","1","514","3","","","","365","1523","944","GCF_000154045.1_ASM15404v1_03754","GCF_000182385.1_ASM18238v1_00069"
"epsE_2","","Type II secretion system protein E","2","2","1","521","360","","","","1124","1502","1313","GCF_000154045.1_ASM15404v1_00684","GCF_000182385.1_ASM18238v1_02963"
"aspT","","Aspartate/alanine antiporter","2","2","1","519","23","","","","1535","1682","1608","GCF_000154045.1_ASM15404v1_02074","GCF_000182385.1_ASM18238v1_04091"
"deaD_2","","ATP-dependent RNA helicase DeaD","2","2","1","523","242","","","","1412","1931","1671","GCF_000154045.1_ASM15404v1_00560","GCF_000182385.1_ASM18238v1_03390"
"group_200","","hypothetical protein","2","2","1","523","214","","","","1331","1769","1550","GCF_000154045.1_ASM15404v1_02145","GCF_000182385.1_ASM18238v1_03361"
"mscS_1","","Small-conductance mechanosensitive channel","2","2","1","516","72","","","","287","866","576","GCF_000154045.1_ASM15404v1_00545","GCF_000182385.1_ASM18238v1_01995"
"nhaP2_2","","K(+)/H(+) antiporter NhaP2","2","2","1","516","32","","","","779","1745","1262","GCF_000154045.1_ASM15404v1_00572","GCF_000182385.1_ASM18238v1_01784"
"leuS","","Leucine--tRNA ligase","2","2","1","505","7","","","","2372","2573","2472","GCF_000154045.1_ASM15404v1_05046","GCF_000182385.1_ASM18238v1_02596"
"yebS_2","","Intermembrane transport protein YebS","2","2","1","506","14","","","","509","1247","878","GCF_000154045.1_ASM15404v1_04048","GCF_000182385.1_ASM18238v1_04377"
"cadB","","putative cadaverine/lysine antiporter","2","2","1","511","13","","","","1082","1343","1212","GCF_000154045.1_ASM15404v1_02334","GCF_000182385.1_ASM18238v1_02790"
"group_212","","hypothetical protein","2","2","1","524","871","","","","545","545","545","GCF_000154045.1_ASM15404v1_01326","GCF_000182385.1_ASM18238v1_00587"
"yfcA_3","","putative membrane transporter protein YfcA","2","2","1","518","147","","","","779","779","779","GCF_000154045.1_ASM15404v1_02476","GCF_000182385.1_ASM18238v1_04578"
"rpsU","","30S ribosomal protein S21","2","2","1","521","47","","","","215","215","215","GCF_000154045.1_ASM15404v1_05358","GCF_000182385.1_ASM18238v1_03244"
"rarA","","Replication-associated recombination protein A","2","2","1","519","315","","","","1271","1349","1310","GCF_000154045.1_ASM15404v1_02974","GCF_000182385.1_ASM18238v1_03971"
"group_2140","","hypothetical protein","2","2","1","524","1348","","","","308","308","308","GCF_000154045.1_ASM15404v1_02538","GCF_000182385.1_ASM18238v1_01699"
"rssB_2","","Regulator of RpoS","2","2","1","522","532","","","","1106","1106","1106","GCF_000154045.1_ASM15404v1_02945","GCF_000182385.1_ASM18238v1_02118"
"acs_3","","Acetyl-coenzyme A synthetase","2","2","1","523","211","","","","1970","1970","1970","GCF_000154045.1_ASM15404v1_02148","GCF_000182385.1_ASM18238v1_03358"
"puuB_2","","Gamma-glutamylputrescine oxidoreductase","2","2","1","520","224","","","","1277","1277","1277","GCF_000154045.1_ASM15404v1_00941","GCF_000182385.1_ASM18238v1_01256"
"group_2144","","hypothetical protein","2","2","1","524","1481","","","","377","377","377","GCF_000154045.1_ASM15404v1_01745","GCF_000182385.1_ASM18238v1_00177"
"group_2145","","hypothetical protein","2","2","1","516","82","","","","578","578","578","GCF_000154045.1_ASM15404v1_03996","GCF_000182385.1_ASM18238v1_02004"
"group_2146","rlmI_3","Ribosomal RNA large subunit methyltransferase I","2","2","1","519","66","","","","932","932","932","GCF_000154045.1_ASM15404v1_02032","GCF_000182385.1_ASM18238v1_04049"
"hisA","","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase","2","2","1","519","109","","","","737","737","737","GCF_000154045.1_ASM15404v1_03004","GCF_000182385.1_ASM18238v1_04005"
"topB","","DNA topoisomerase 3","2","2","1","522","565","","","","1964","1964","1964","GCF_000154045.1_ASM15404v1_02273","GCF_000182385.1_ASM18238v1_02151"
"group_2149","","hypothetical protein","2","2","1","524","1029","","","","245","245","245","GCF_000154045.1_ASM15404v1_01484","GCF_000182385.1_ASM18238v1_00429"
"cyoA","","Cytochrome bo(3) ubiquinol oxidase subunit 2","2","2","1","523","261","","","","881","881","881","GCF_000154045.1_ASM15404v1_04530","GCF_000182385.1_ASM18238v1_03409"
"queF_1","","NADPH-dependent 7-cyano-7-deazaguanine reductase","2","2","1","509","19","","","","845","845","845","GCF_000154045.1_ASM15404v1_03321","GCF_000182385.1_ASM18238v1_04565"
"yoeB","","Toxin YoeB","2","2","1","520","45","","","","269","269","269","GCF_000154045.1_ASM15404v1_00918","GCF_000182385.1_ASM18238v1_01290"
"group_2153","","hypothetical protein","2","2","1","519","68","","","","1613","1613","1613","GCF_000154045.1_ASM15404v1_02030","GCF_000182385.1_ASM18238v1_04047"
"group_2154","","hypothetical protein","2","2","1","522","378","","","","1364","1364","1364","GCF_000154045.1_ASM15404v1_04195","GCF_000182385.1_ASM18238v1_04200"
"group_2155","","hypothetical protein","2","2","1","521","401","","","","866","866","866","GCF_000154045.1_ASM15404v1_03371","GCF_000182385.1_ASM18238v1_03004"
"pabC","","Aminodeoxychorismate lyase","2","2","1","508","15","","","","818","818","818","GCF_000154045.1_ASM15404v1_05283","GCF_000182385.1_ASM18238v1_01762"
"group_2157","","hypothetical protein","2","2","1","523","380","","","","722","722","722","GCF_000154045.1_ASM15404v1_05154","GCF_000182385.1_ASM18238v1_03522"
"tolR_4","","Tol-Pal system protein TolR","2","2","1","519","265","","","","443","443","443","GCF_000154045.1_ASM15404v1_03051","GCF_000182385.1_ASM18238v1_03920"
"mltA","","Membrane-bound lytic murein transglycosylase A","2","2","1","522","341","","","","1103","1103","1103","GCF_000154045.1_ASM15404v1_04228","GCF_000182385.1_ASM18238v1_04167"
"group_216","","hypothetical protein","2","2","1","523","324","","","","1730","1730","1730","GCF_000154045.1_ASM15404v1_05209","GCF_000182385.1_ASM18238v1_03467"
"cysH","","Phosphoadenosine phosphosulfate reductase","2","2","1","517","5","","","","779","779","779","GCF_000154045.1_ASM15404v1_04496","GCF_000182385.1_ASM18238v1_01523"
"fumE","","Fumarase E","2","2","1","523","144","","","","518","518","518","GCF_000154045.1_ASM15404v1_02215","GCF_000182385.1_ASM18238v1_03289"
"group_2162","ompA_3","Outer membrane protein A","2","2","1","524","369","","","","614","614","614","GCF_000154045.1_ASM15404v1_01208","GCF_000182385.1_ASM18238v1_01077"
"ffh","","Signal recognition particle protein","2","2","1","524","164","","","","1382","1382","1382","GCF_000154045.1_ASM15404v1_01940","GCF_000182385.1_ASM18238v1_01839"
"group_2164","","hypothetical protein","2","2","1","524","128","","","","734","734","734","GCF_000154045.1_ASM15404v1_03911","GCF_000182385.1_ASM18238v1_00038"
"group_2165","","Azurin","2","2","1","524","999","","","","452","452","452","GCF_000154045.1_ASM15404v1_01454","GCF_000182385.1_ASM18238v1_00459"
"ygiW","","Protein YgiW","2","2","1","523","329","","","","335","335","335","GCF_000154045.1_ASM15404v1_05204","GCF_000182385.1_ASM18238v1_03472"
"group_2167","","Cyclic di-GMP phosphodiesterase","2","2","1","515","69","","","","1253","1253","1253","GCF_000154045.1_ASM15404v1_02514","GCF_000182385.1_ASM18238v1_01636"
"lolD_2","","Lipoprotein-releasing system ATP-binding protein LolD","2","2","1","523","501","","","","692","692","692","GCF_000154045.1_ASM15404v1_04678","GCF_000182385.1_ASM18238v1_03646"
"clpP","","ATP-dependent Clp protease proteolytic subunit","2","2","1","512","9","","","","626","626","626","GCF_000154045.1_ASM15404v1_02738","GCF_000182385.1_ASM18238v1_01479"
"phoB_3","","Alkaline phosphatase 3","2","2","1","524","1414","","","","1289","1289","1289","GCF_000154045.1_ASM15404v1_01811","GCF_000182385.1_ASM18238v1_00111"
"bepC_3","","Outer membrane efflux protein BepC","2","2","1","520","83","","","","1310","1310","1310","GCF_000154045.1_ASM15404v1_01116","GCF_000182385.1_ASM18238v1_04392"
"coaD","","Phosphopantetheine adenylyltransferase","2","2","1","521","417","","","","482","482","482","GCF_000154045.1_ASM15404v1_01967","GCF_000182385.1_ASM18238v1_03017"
"recQ","","ATP-dependent DNA helicase RecQ","2","2","1","522","82","","","","1835","1835","1835","GCF_000154045.1_ASM15404v1_03500","GCF_000182385.1_ASM18238v1_03780"
"potA_1","","Spermidine/putrescine import ATP-binding protein PotA","2","2","1","519","60","","","","647","647","647","GCF_000154045.1_ASM15404v1_02038","GCF_000182385.1_ASM18238v1_04055"
"oppF_3","","Oligopeptide transport ATP-binding protein OppF","2","2","1","524","252","","","","995","995","995","GCF_000154045.1_ASM15404v1_02457","GCF_000182385.1_ASM18238v1_01886"
"glpR","","Glycerol-3-phosphate regulon repressor","2","2","1","522","324","","","","791","791","791","GCF_000154045.1_ASM15404v1_04244","GCF_000182385.1_ASM18238v1_04150"
"hldE","","Bifunctional protein HldE","2","2","1","521","29","","","","1430","1430","1430","GCF_000154045.1_ASM15404v1_04656","GCF_000182385.1_ASM18238v1_03261"
"truC","","tRNA pseudouridine synthase C","2","2","1","522","392","","","","767","767","767","GCF_000154045.1_ASM15404v1_04184","GCF_000182385.1_ASM18238v1_04214"
"trmD","","tRNA (guanine-N(1)-)-methyltransferase","2","2","1","524","167","","","","743","743","743","GCF_000154045.1_ASM15404v1_01937","GCF_000182385.1_ASM18238v1_01842"
"ispA_2","","Farnesyl diphosphate synthase","2","2","1","518","42","","","","242","884","563","GCF_000154045.1_ASM15404v1_02338","GCF_000182385.1_ASM18238v1_04793"
"zntB","","Zinc transport protein ZntB","2","2","1","522","322","","","","947","947","947","GCF_000154045.1_ASM15404v1_04246","GCF_000182385.1_ASM18238v1_04148"
"group_2181","","hypothetical protein","2","2","1","522","293","","","","755","755","755","GCF_000154045.1_ASM15404v1_04275","GCF_000182385.1_ASM18238v1_04119"
"rhlE_3","","ATP-dependent RNA helicase RhlE","2","2","1","524","303","","","","1568","1568","1568","GCF_000154045.1_ASM15404v1_01273","GCF_000182385.1_ASM18238v1_01142"
"frdA","","Fumarate reductase flavoprotein subunit","2","2","1","517","115","","","","1799","1799","1799","GCF_000154045.1_ASM15404v1_04088","GCF_000182385.1_ASM18238v1_04291"
"glnE","","Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme","2","2","1","521","30","","","","2843","2843","2843","GCF_000154045.1_ASM15404v1_04655","GCF_000182385.1_ASM18238v1_03260"
"group_2185","","hypothetical protein","2","2","1","523","159","","","","347","347","347","GCF_000154045.1_ASM15404v1_02200","GCF_000182385.1_ASM18238v1_03306"
"gyrA","","DNA gyrase subunit A","2","2","1","520","247","","","","2636","2636","2636","GCF_000154045.1_ASM15404v1_03776","GCF_000182385.1_ASM18238v1_01392"
"group_2187","","hypothetical protein","2","2","1","522","394","","","","383","383","383","GCF_000154045.1_ASM15404v1_04183","GCF_000182385.1_ASM18238v1_04215"
"group_2188","","hypothetical protein","2","2","1","511","23","","","","572","572","572","GCF_000154045.1_ASM15404v1_04296","GCF_000182385.1_ASM18238v1_02810"
"group_2189","","hypothetical protein","2","2","1","524","1407","","","","434","434","434","GCF_000154045.1_ASM15404v1_01818","GCF_000182385.1_ASM18238v1_00104"
"metF","","5,10-methylenetetrahydrofolate reductase","2","2","1","517","49","","","","794","902","848","GCF_000154045.1_ASM15404v1_00703","GCF_000182385.1_ASM18238v1_01481"
"dhaL_2","","PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL","2","2","1","521","74","","","","635","635","635","GCF_000154045.1_ASM15404v1_05343","GCF_000182385.1_ASM18238v1_03205"
"group_2191","pctB_3","Methyl-accepting chemotaxis protein PctB","2","2","1","523","152","","","","1871","1871","1871","GCF_000154045.1_ASM15404v1_02207","GCF_000182385.1_ASM18238v1_03297"
"yfeX","","Dye-decolorizing peroxidase YfeX","2","2","1","522","451","","","","902","902","902","GCF_000154045.1_ASM15404v1_03863","GCF_000182385.1_ASM18238v1_04273"
"group_2193","btuD_5","Vitamin B12 import ATP-binding protein BtuD","2","2","1","523","60","","","","764","764","764","GCF_000154045.1_ASM15404v1_04933","GCF_000182385.1_ASM18238v1_02236"
"group_2194","","hypothetical protein","2","2","1","524","911","","","","137","137","137","GCF_000154045.1_ASM15404v1_01367","GCF_000182385.1_ASM18238v1_00547"
"group_2195","","hypothetical protein","2","2","1","524","1236","","","","458","458","458","GCF_000154045.1_ASM15404v1_01690","GCF_000182385.1_ASM18238v1_00234"
"mreB","","Cell shape-determining protein MreB","2","2","1","515","36","","","","1043","1043","1043","GCF_000154045.1_ASM15404v1_02240","GCF_000182385.1_ASM18238v1_01576"
"ugpQ","","Glycerophosphodiester phosphodiesterase, cytoplasmic","2","2","1","524","528","","","","710","710","710","GCF_000154045.1_ASM15404v1_03244","GCF_000182385.1_ASM18238v1_00912"
"nlpD","","Murein hydrolase activator NlpD","2","2","1","516","113","","","","923","923","923","GCF_000154045.1_ASM15404v1_04602","GCF_000182385.1_ASM18238v1_02035"
"trxA","","Thioredoxin 1","2","2","1","522","77","","","","326","326","326","GCF_000154045.1_ASM15404v1_03505","GCF_000182385.1_ASM18238v1_03774"
"bamA","","Outer membrane protein assembly factor BamA","2","2","1","522","404","","","","2414","2414","2414","GCF_000154045.1_ASM15404v1_04173","GCF_000182385.1_ASM18238v1_04226"
"group_2201","","hypothetical protein","2","2","1","523","754","","","","749","749","749","GCF_000154045.1_ASM15404v1_05296","GCF_000182385.1_ASM18238v1_02412"
"group_2202","","hypothetical protein","2","2","1","522","92","","","","284","284","284","GCF_000154045.1_ASM15404v1_03490","GCF_000182385.1_ASM18238v1_03790"
"murR","","HTH-type transcriptional regulator MurR","2","2","1","524","684","","","","851","851","851","GCF_000154045.1_ASM15404v1_00840","GCF_000182385.1_ASM18238v1_00758"
"group_2204","","hypothetical protein","2","2","1","524","452","","","","2033","2033","2033","GCF_000154045.1_ASM15404v1_01126","GCF_000182385.1_ASM18238v1_00991"
"group_2205","","hypothetical protein","2","2","1","523","482","","","","557","557","557","GCF_000154045.1_ASM15404v1_04661","GCF_000182385.1_ASM18238v1_03627"
"purD","","Phosphoribosylamine--glycine ligase","2","2","1","511","17","","","","1289","1289","1289","GCF_000154045.1_ASM15404v1_04290","GCF_000182385.1_ASM18238v1_02794"
"glpF","","Glycerol uptake facilitator protein","2","2","1","522","327","","","","854","854","854","GCF_000154045.1_ASM15404v1_04242","GCF_000182385.1_ASM18238v1_04152"
"chbP","","N,N'-diacetylchitobiose phosphorylase","2","2","1","524","256","","","","2408","2408","2408","GCF_000154045.1_ASM15404v1_02461","GCF_000182385.1_ASM18238v1_01882"
"recF","","DNA replication and repair protein RecF","2","2","1","522","122","","","","1079","1079","1079","GCF_000154045.1_ASM15404v1_03454","GCF_000182385.1_ASM18238v1_04495"
"group_2210","","hypothetical protein","2","2","1","524","691","","","","1913","1913","1913","GCF_000154045.1_ASM15404v1_00847","GCF_000182385.1_ASM18238v1_00751"
"group_2211","","hypothetical protein","2","2","1","523","879","","","","410","410","410","GCF_000154045.1_ASM15404v1_04920","GCF_000182385.1_ASM18238v1_02249"
"nrtD","","Nitrate import ATP-binding protein NrtD","2","2","1","524","1399","","","","836","836","836","GCF_000154045.1_ASM15404v1_01826","GCF_000182385.1_ASM18238v1_00096"
"group_2213","","hypothetical protein","2","2","1","518","71","","","","626","626","626","GCF_000154045.1_ASM15404v1_04463","GCF_000182385.1_ASM18238v1_04765"
"dnaQ","","DNA polymerase III subunit epsilon","2","2","1","522","422","","","","722","722","722","GCF_000154045.1_ASM15404v1_03892","GCF_000182385.1_ASM18238v1_04244"
"exuR","","putative HTH-type transcriptional repressor ExuR","2","2","1","522","315","","","","1025","1025","1025","GCF_000154045.1_ASM15404v1_04253","GCF_000182385.1_ASM18238v1_04141"
"group_2216","","hypothetical protein","2","2","1","514","13","","","","668","668","668","GCF_000154045.1_ASM15404v1_03745","GCF_000182385.1_ASM18238v1_00078"
"group_2217","","hypothetical protein","2","2","1","524","21","","","","524","524","524","GCF_000154045.1_ASM15404v1_01568","GCF_000182385.1_ASM18238v1_00347"
"group_2218","","hypothetical protein","2","2","1","523","741","","","","464","464","464","GCF_000154045.1_ASM15404v1_05309","GCF_000182385.1_ASM18238v1_02425"
"group_2219","","hypothetical protein","2","2","1","519","129","","","","1292","1292","1292","GCF_000154045.1_ASM15404v1_02984","GCF_000182385.1_ASM18238v1_03985"
"priA","","Primosomal protein N'","2","2","1","521","193","","","","713","2204","1458","GCF_000154045.1_ASM15404v1_04033","GCF_000182385.1_ASM18238v1_03098"
"group_2220","","hypothetical protein","2","2","1","521","117","","","","473","473","473","GCF_000154045.1_ASM15404v1_03151","GCF_000182385.1_ASM18238v1_03173"
"gyrB","","DNA gyrase subunit B","2","2","1","522","121","","","","2417","2417","2417","GCF_000154045.1_ASM15404v1_03455","GCF_000182385.1_ASM18238v1_04496"
"group_2222","","hypothetical protein","2","2","1","524","1090","","","","374","374","374","GCF_000154045.1_ASM15404v1_01547","GCF_000182385.1_ASM18238v1_00367"
"group_2223","","hypothetical protein","2","2","1","524","364","","","","290","290","290","GCF_000154045.1_ASM15404v1_01213","GCF_000182385.1_ASM18238v1_01081"
"pxpB","","5-oxoprolinase subunit B","2","2","1","523","505","","","","683","683","683","GCF_000154045.1_ASM15404v1_04683","GCF_000182385.1_ASM18238v1_03650"
"group_2225","","hypothetical protein","2","2","1","521","142","","","","200","200","200","GCF_000154045.1_ASM15404v1_04982","GCF_000182385.1_ASM18238v1_03148"
"ompA_1","","Outer membrane protein A","2","2","1","524","1252","","","","989","989","989","GCF_000154045.1_ASM15404v1_01705","GCF_000182385.1_ASM18238v1_00218"
"group_2227","","hypothetical protein","2","2","1","523","712","","","","164","164","164","GCF_000154045.1_ASM15404v1_03939","GCF_000182385.1_ASM18238v1_02455"
"galE_1","","UDP-glucose 4-epimerase","2","2","1","523","508","","","","1016","1016","1016","GCF_000154045.1_ASM15404v1_04686","GCF_000182385.1_ASM18238v1_03653"
"group_2229","","GTP cyclohydrolase 1 type 2 ","2","2","1","522","201","","","","758","758","758","GCF_000154045.1_ASM15404v1_04640","GCF_000182385.1_ASM18238v1_02669"
"mrcB_1","","Penicillin-binding protein 1B","2","2","1","524","266","","","","1454","2372","1913","GCF_000154045.1_ASM15404v1_00753","GCF_000182385.1_ASM18238v1_01872"
"sycN","","Chaperone protein SycN","2","2","1","520","116","","","","371","371","371","GCF_000154045.1_ASM15404v1_01049","GCF_000182385.1_ASM18238v1_04424"
"group_2233","","hypothetical protein","2","2","1","523","401","","","","275","275","275","GCF_000154045.1_ASM15404v1_05133","GCF_000182385.1_ASM18238v1_03543"
"dauR_2","","Transcriptional regulator DauR","2","2","1","517","62","","","","674","674","674","GCF_000154045.1_ASM15404v1_03598","GCF_000182385.1_ASM18238v1_04361"
"metK","","S-adenosylmethionine synthase","2","2","1","516","65","","","","1154","1154","1154","GCF_000154045.1_ASM15404v1_02294","GCF_000182385.1_ASM18238v1_01988"
"group_2236","","hypothetical protein","2","2","1","504","5","","","","584","584","584","GCF_000154045.1_ASM15404v1_04040","GCF_000182385.1_ASM18238v1_01740"
"qmcA","","Protein QmcA","2","2","1","522","235","","","","917","917","917","GCF_000154045.1_ASM15404v1_05033","GCF_000182385.1_ASM18238v1_02703"
"group_2238","","hypothetical protein","2","2","1","519","294","","","","740","740","740","GCF_000154045.1_ASM15404v1_03080","GCF_000182385.1_ASM18238v1_03950"
"qseC","","Sensor protein QseC","2","2","1","520","186","","","","1430","1430","1430","GCF_000154045.1_ASM15404v1_00979","GCF_000182385.1_ASM18238v1_01218"
"tatC","","Sec-independent protein translocase protein TatC","2","2","1","521","256","","","","740","740","740","GCF_000154045.1_ASM15404v1_03102","GCF_000182385.1_ASM18238v1_02932"
"hexR","","HTH-type transcriptional regulator HexR","2","2","1","519","20","","","","854","854","854","GCF_000154045.1_ASM15404v1_03174","GCF_000182385.1_ASM18238v1_04094"
"clpB_2","","Chaperone protein ClpB","2","2","1","518","230","","","","2573","2573","2573","GCF_000154045.1_ASM15404v1_02904","GCF_000182385.1_ASM18238v1_04660"
"group_2243","","hypothetical protein","2","2","1","524","1370","","","","479","479","479","GCF_000154045.1_ASM15404v1_01855","GCF_000182385.1_ASM18238v1_01722"
"group_2244","","hypothetical protein","2","2","1","524","618","","","","389","389","389","GCF_000154045.1_ASM15404v1_00779","GCF_000182385.1_ASM18238v1_00827"
"group_2245","","hypothetical protein","2","2","1","522","298","","","","518","518","518","GCF_000154045.1_ASM15404v1_04270","GCF_000182385.1_ASM18238v1_04124"
"gltA","","Citrate synthase","2","2","1","522","200","","","","1289","1289","1289","GCF_000154045.1_ASM15404v1_04639","GCF_000182385.1_ASM18238v1_02668"
"kdsA","","2-dehydro-3-deoxyphosphooctonate aldolase","2","2","1","503","9","","","","851","851","851","GCF_000154045.1_ASM15404v1_03977","GCF_000182385.1_ASM18238v1_01641"
"purN","","Phosphoribosylglycinamide formyltransferase","2","2","1","522","428","","","","647","647","647","GCF_000154045.1_ASM15404v1_03886","GCF_000182385.1_ASM18238v1_04250"
"ttrA","","Tetrathionate reductase subunit A","2","2","1","514","19","","","","3092","3092","3092","GCF_000154045.1_ASM15404v1_03740","GCF_000182385.1_ASM18238v1_03706"
"group_2250","","hypothetical protein","2","2","1","524","389","","","","371","371","371","GCF_000154045.1_ASM15404v1_01188","GCF_000182385.1_ASM18238v1_01053"
"mcpU","","Methyl-accepting chemotaxis protein McpU","2","2","1","514","65","","","","2096","2096","2096","GCF_000154045.1_ASM15404v1_03709","GCF_000182385.1_ASM18238v1_03737"
"glmU","","Bifunctional protein GlmU","2","2","1","522","146","","","","1361","1361","1361","GCF_000154045.1_ASM15404v1_04433","GCF_000182385.1_ASM18238v1_04471"
"lpxK","","Tetraacyldisaccharide 4'-kinase","2","2","1","519","195","","","","1007","1007","1007","GCF_000154045.1_ASM15404v1_04360","GCF_000182385.1_ASM18238v1_03848"
"pyrG","","CTP synthase","2","2","1","516","101","","","","1640","1640","1640","GCF_000154045.1_ASM15404v1_04610","GCF_000182385.1_ASM18238v1_02027"
"group_2255","","hypothetical protein","2","2","1","523","659","","","","368","368","368","GCF_000154045.1_ASM15404v1_04719","GCF_000182385.1_ASM18238v1_03686"
"zapD","","Cell division protein ZapD","2","2","1","524","170","","","","740","740","740","GCF_000154045.1_ASM15404v1_01934","GCF_000182385.1_ASM18238v1_01845"
"group_2257","","hypothetical protein","2","2","1","524","115","","","","293","293","293","GCF_000154045.1_ASM15404v1_03118","GCF_000182385.1_ASM18238v1_00051"
